"","Paises/Entidades","Tipo de conflicto","Numero del proceso","Nombre del proceso","Region","Id del acuerdo","Nombre del acuerdo","Fecha","Definicion y estado","Tipo de conflicto2","Fase del acuerdo","Grupo infancia","Grupo discapacitados","Grupo ancianos","Grupo migrantes","Grupo racial","Grupo religion","Grupo indigenas","Grupo otros","Grupo refugiados","Grupo social","Estado - autodeterminacion","Estado - referendum","Estado - secesion","Estado - unificacion","Estado - fronteras","Constitucion reforma o creacion","Elecciones","Reparto de territorios","Reparto economico","Reparto militar","Igualdad de genero","Democracia","Derechos civiles","Derechos socioeconomicos","Desarrollo","Medio ambiente","Seguridad","Alto el fuego","Corrupcion","Crimer organizado","Terrorismo","Justicia","Grupo infancia bin","Grupo discapacitados bin","Grupo ancianos bin","Grupo migrantes bin","Grupo racial bin","Grupo religion bin","Grupo indigenas bin","Grupo otros bin","Grupo refugiados bin","Grupo social bin","Constitucion reforma o creacion bin","Elecciones bin","Reparto de territorios bin","Reparto economico bin","Reparto militar bin","Igualdad de genero bin","Democracia bin","Desarrollo bin","Alto el fuego bin","Corrupcion bin","Crimer organizado bin","Justicia bin","PAISES"
"212","Burundi","Government",141,"Burundi: 2015 onwards process","Africa (excl MENA)",1908,"Proposition portant sur le reglement des conflicts",2017-05-05,"Multiparty signed/agreed","Intra","Pre",0,0,0,0,0,0,0,0,1,0,"0","0","0","0","0",1,1,0,0,0,0,0,"1","0",1,"0","1",0,0,0,"0",0,"0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0","0","0","BDI"
"213","Burundi","Government",141,"Burundi: 2015 onwards process","Africa (excl MENA)",1934,"Resolution Atelier Gitega",2016-10-11,"Multiparty signed/agreed","Intra","Pre",0,0,0,0,0,0,0,0,2,0,"0","0","0","0","0",2,1,0,0,0,0,0,"0","0",0,"0","1",0,0,1,"0",0,"0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","BDI"
"214","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",713,"Déclaration du Directoire Politique du processus de paix au Burundi sur le processus de mise en oeuvre des décisions conjointes prises à Pretoria",2009-04-08,"Multiparty signed/agreed","Intra","Imp",3,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,0,0,0,3,0,0,"0","0",0,"0","0",0,0,0,"0",0,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","BDI"
"215","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",1907,"Declaration of the Palipehutu-FNL",2009-01-09,"Unilateral document","Intra","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,0,0,0,0,0,0,"0","0",0,"0","0",0,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","BDI"
"216","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",712,"Déclaration du Sommet des chefs d'Etats et de gouvernements de l'initiative régionale sur le processus de Paix au Burundi",2008-12-04,"Multiparty signed/agreed","Intra","Imp",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,0,0,0,0,0,0,"0","0",0,"0","0",0,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","BDI"
"217","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",1905,"Magaliesburg Declaration on the Burundi Peace Process
",2008-06-10,"Multiparty signed/agreed","Intra","Imp",2,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,0,0,0,0,0,0,"0","0",0,"0","1",1,0,0,"0",0,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","BDI"
"218","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",711,"Déclaration conjointe du Palipehutu FNL et du gouvernement du Burundi relative à la cessation des hostilités",2008-05-26,"Multiparty signed/agreed","Intra","Cea",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,0,0,0,0,0,0,"0","0",0,"0","0",3,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","BDI"
"219","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",336,"Comprehensive Ceasefire Agreement between the Government of the Republic of Burundi and the Palipehutu - FNL",2006-09-07,"Multiparty signed/agreed","Intra","Cea",3,0,0,0,2,2,0,0,1,0,"0","0","0","0","0",0,0,0,0,3,0,1,"0","0",1,"0","0",3,0,0,"1",0,"1","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","1","1","1","0","0","0","BDI"
"220","Burundi","Government",16,"Burundi: Arusha and related peace process","Africa (excl MENA)",702,"Dar-es-Salaam Agreement on Principles Towards lasting Peace, Security, and Stability in Burundi",2006-06-18,"Multiparty signed/agreed","Intra","SubComp",0,0,0,0,1,1,0,0,2,1,"0","0","0","0","0",0,0,0,0,1,0,1,"0","0",1,"0","0",2,0,0,"0",0,"0","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0","BDI"
"221","Burundi","Inter-group",148,"Burundi: Local Process","Africa (excl MENA)",2033,"Social contract between farmers and pastoralists in the commune Rugombo, Cibitoke province, Burundi",2006-03-23,"Multiparty signed/agreed","IntraLocal","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,0,0,0,0,0,0,"0","0",0,"0","1",0,1,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","BDI"
